Name,Specimen_collector,Collector_number,Petiole length (mm),Petiolet length (mm),Mass of Leaf Sample (g),Petal Length (mm),
Agrimonia gryposepala,H. Appel & J. Gendlin,462,0,,0.0015,,
Agrimonia gryposepala,H. Appel & J. Gendlin,462,0,,,,
Agrimonia gryposepala,H. Appel & J. Gendlin,462,0,,,,
Agrimonia gryposepala,Robert W. Smith,3473,0,,0.0008,3.3,
Agrimonia gryposepala,Robert W. Smith,3473,0,,,3.1,
Agrimonia gryposepala,Robert W. Smith,3473,0,,,2.6,
Agrimonia gryposepala,E.G. Voss,16799,0,,0.001,,
Agrimonia gryposepala,E.G. Voss,16799,0,,,,
Agrimonia gryposepala,E.G. Voss,16799,0,,,,
,,,,,,,
Agrimonia parviflora,Beverly S. Walters,1435,0,,0.0019,2.4,
Agrimonia parviflora,Beverly S. Walters,1435,0,,,2.6,
Agrimonia parviflora,Beverly S. Walters,1435,0,,,2,
Agrimonia parviflora,Robert W. Smith,2890,0,,0.0018,2.4,
Agrimonia parviflora,Robert W. Smith,2890,0,,,1.6,
Agrimonia parviflora,Robert W. Smith,2890,0,,,1.9,
Agrimonia parviflora,William S. Martinus,871,0,,0.0016,,
Agrimonia parviflora,William S. Martinus,871,0,,,,
Agrimonia parviflora,William S. Martinus,871,0,,,,
,,,,,,,
Agrimonia pubescens,Beverly S. Walters,1446,0,,0.0011,,
Agrimonia pubescens,Beverly S. Walters,1446,0,,,,
Agrimonia pubescens,Beverly S. Walters,1446,0,,,,
Agrimonia pubescens,Robert W. Smith,211,0,,0.001,,
Agrimonia pubescens,Robert W. Smith,211,0,,,,
Agrimonia pubescens,Robert W. Smith,211,0,,,,
Agrimonia pubescens,Joshua C. Springer,290,0,,,2.5,
Agrimonia pubescens,Joshua C. Springer,290,0,,,3,
Agrimonia pubescens,Joshua C. Springer,290,0,,,2.6,
,,,,,,,
Agrimonia rostellata,Steven P. Grund,618,0,,,2.9,
Agrimonia rostellata,Steven P. Grund,618,0,,,2.5,
Agrimonia rostellata,Steven P. Grund,618,0,,,,
Agrimonia rostellata,Steven P. Grund,573,0,,,2.8,
Agrimonia rostellata,Steven P. Grund,573,0,,,2.4,
Agrimonia rostellata,Steven P. Grund,573,0,,,2.3,
Agrimonia rostellata,Bev Walters,1272,0,,,,
Agrimonia rostellata,Bev Walters,1272,0,,,,
Agrimonia rostellata,Bev Walters,1272,0,,,,
,,,,,,,
Agrimonia striata,Don Henson,1712,0,,,3,
Agrimonia striata,Don Henson,1712,0,,,3.1,
Agrimonia striata,Don Henson,1712,0,,,2.8,
Agrimonia striata,Don Henson,1540,0,,,,
Agrimonia striata,Don Henson,1540,0,,,,
Agrimonia striata,Don Henson,1540,0,,,,
Agrimonia striata,Thomas G. Lammers,11880,0,,,2.8,
Agrimonia striata,Thomas G. Lammers,11880,0,,,2.2,
Agrimonia striata,Thomas G. Lammers,11880,0,,,2,
,,,,,,,
Alchemilla mollis,William S. Martinus,687,242.4,,,1.2,
Alchemilla mollis,William S. Martinus,687,63.6,,,1.8,
Alchemilla mollis,William S. Martinus,687,16.3,,,1.6,
Alchemilla mollis,William S. Martinus,1115,81.6,,,,
Alchemilla mollis,William S. Martinus,1115,70.4,,,,
Alchemilla mollis,William S. Martinus,1115,56.5,,,,
,,,,,,,
Amelanchier arborea,John V. Freudenstein,432,9.7,,,,
Amelanchier arborea,John V. Freudenstein,432,6.3,,,,
Amelanchier arborea,John V. Freudenstein,432,8,,,,
Amelanchier arborea,Ruth B. MacFarlane,4487b,13.4,,0.0008,,
Amelanchier arborea,Ruth B. MacFarlane,4487b,11.6,,,,
Amelanchier arborea,Ruth B. MacFarlane,4487b,13.2,,,,
Amelanchier arborea,John V. Freudenstein,391,5.6,,0.001 (2),,
Amelanchier arborea,John V. Freudenstein,391,6.3,,,,
Amelanchier arborea,John V. Freudenstein,391,9.2,,,,
Amelanchier arborea,D. Sheils,121,6.8,,0.0009,,
Amelanchier arborea,D. Sheils,121,8.9,,,,
Amelanchier arborea,D. Sheils,121,17.8,,,,
Amelanchier arborea,David Gorchov,E-8,11.5,,0.0011,,
Amelanchier arborea,David Gorchov,E-8,10.6,,,,
Amelanchier arborea,David Gorchov,E-8,9.5,,,,
Amelanchier arborea,David Gorchov,E-7,,,0.0013,,
,,,,,,,
Amelanchier bartramiana,Frank Bowers & David Hillier,-,3.8,,,,
Amelanchier bartramiana,Frank Bowers & David Hillier,-,4.2,,,,
Amelanchier bartramiana,Frank Bowers & David Hillier,-,6.1,,,,
Amelanchier bartramiana,E.G. Voss,14097,3.3,,,5,
Amelanchier bartramiana,E.G. Voss,14097,3.4,,,6.4,
Amelanchier bartramiana,E.G. Voss,14097,4.7,,,5.8,
Amelanchier bartramiana,E.G. Voss,15922,7.3,,,,
Amelanchier bartramiana,E.G. Voss,15922,12,,,,
Amelanchier bartramiana,E.G. Voss,15922,8.9,,,,
